Date,balance,wager_net,daily_diff,perc_change,high,low,adjusted_high,open,close
2023-11-12,201170.46999999994,-1117.19,-1117.1899999999732,-0.552277879926029,210379.16639999993,201170.46999999994,210379.16639999993,202287.65999999992,201170.46999999994
2023-11-13,191663.68999999994,-9506.78,-9506.779999999999,-4.725733354403358,209217.28879999995,191663.68999999994,209217.28879999995,201170.46999999994,191663.68999999994
2023-11-14,192960.9199999999,1297.23,1297.2299999999523,0.6768261635784809,199330.23759999993,191663.68999999994,199330.23759999993,191663.68999999994,192960.9199999999
2023-11-15,187348.2599999999,-5612.66,-5612.6600000000035,-2.9087029643100824,200679.3567999999,187348.2599999999,200679.3567999999,192960.9199999999,187348.2599999999
2023-11-16,197134.33999999988,9786.08,9786.079999999987,5.2234699164006075,197134.33999999988,187348.2599999999,194842.1903999999,187348.2599999999,197134.33999999988
2023-11-17,213919.20999999985,16784.87,16784.869999999966,8.514432340910252,213919.20999999985,197134.33999999988,205019.71359999987,197134.33999999988,213919.20999999985
2023-11-18,238976.80999999985,25057.6,25057.600000000006,11.71358102902494,238976.80999999985,213919.20999999985,222475.97839999985,213919.20999999985,238976.80999999985
2023-11-19,259493.59999999986,20516.79,20516.790000000008,8.58526398440084,259493.59999999986,238976.80999999985,248535.88239999986,238976.80999999985,259493.59999999986
2023-11-20,269359.6899999999,9866.09,9866.090000000026,3.8020552337321734,269873.34399999987,259493.59999999986,269873.34399999987,259493.59999999986,269359.6899999999
2023-11-21,281754.6799999998,12394.99,12394.989999999932,4.601649935073781,281754.6799999998,269359.6899999999,280134.0775999999,269359.6899999999,281754.6799999998
2023-11-22,284753.22999999975,2998.55,2998.54999999993,1.0642414173918715,293024.8671999998,281754.6799999998,293024.8671999998,281754.6799999998,284753.22999999975
2023-11-23,316503.2399999997,31750.010000000002,31750.00999999995,11.150008728610377,316503.2399999997,284753.22999999975,296143.3591999998,284753.22999999975,316503.2399999997
2023-11-24,352173.71999999974,15799.8,35670.48000000004,11.270178466419514,352173.71999999974,316503.2399999997,329163.3695999997,316503.2399999997,352173.71999999974
2023-11-25,347255.9999999997,14952.960000000001,-4917.72000000003,-1.3963903950584484,366260.66879999975,347255.9999999997,366260.66879999975,352173.71999999974,347255.9999999997
2023-11-26,347916.4999999997,660.5000000000002,660.5,0.19020549680927057,361146.2399999997,347255.9999999997,361146.2399999997,347255.9999999997,347916.4999999997
2023-11-27,346746.1699999997,-1170.3300000000002,-1170.3300000000163,-0.33638243659039374,361833.1599999997,346746.1699999997,361833.1599999997,347916.4999999997,346746.1699999997
2023-11-28,340754.4799999997,-5991.6900000000005,-5991.690000000002,-1.7279758273898187,360616.0167999997,340754.4799999997,360616.0167999997,346746.1699999997,340754.4799999997
2023-11-29,327424.98999999976,-13329.49,-13329.489999999932,-3.911757814600103,354384.6591999997,327424.98999999976,354384.6591999997,340754.4799999997,327424.98999999976
2023-11-30,321007.0399999997,-6417.95,-6417.95000000007,-1.9601283335154336,340521.98959999974,321007.0399999997,340521.98959999974,327424.98999999976,321007.0399999997
2023-12-01,336489.05999999965,15482.02,15482.01999999996,4.822953415601096,336489.05999999965,321007.0399999997,333847.3215999997,321007.0399999997,336489.05999999965
2023-12-02,344948.48999999976,8459.43,8459.43000000011,2.5140282421069258,349948.62239999964,336489.05999999965,349948.62239999964,336489.05999999965,344948.48999999976
2023-12-03,346450.85999999975,1502.37,1502.3699999999953,0.43553459242566805,358746.42959999974,344948.48999999976,358746.42959999974,344948.48999999976,346450.85999999975
2023-12-04,339930.5799999997,-6520.28,-6520.280000000028,-1.882021594635393,360308.89439999976,339930.5799999997,360308.89439999976,346450.85999999975,339930.5799999997
2023-12-05,307819.3999999996,-32111.18,-32111.18000000011,-9.446393437154178,353527.80319999973,307819.3999999996,353527.80319999973,339930.5799999997,307819.3999999996
2023-12-06,308941.44999999955,1122.0499999999997,1122.0499999999302,0.36451568679554686,320132.1759999996,307819.3999999996,320132.1759999996,307819.3999999996,308941.44999999955
2023-12-07,304230.1099999995,-4711.34,-4711.340000000026,-1.5249944609245643,321299.10799999954,304230.1099999995,321299.10799999954,308941.44999999955,304230.1099999995
2023-12-08,310558.7799999996,6328.67,6328.6700000001,2.0802247351519907,316399.3143999995,304230.1099999995,316399.3143999995,304230.1099999995,310558.7799999996
2023-12-09,316192.7299999996,5633.949999999999,5633.949999999953,1.8141332214146255,322981.1311999996,310558.7799999996,322981.1311999996,310558.7799999996,316192.7299999996
2023-12-10,306513.0499999996,-9679.68,-9679.679999999993,-3.0613227571677584,328840.43919999956,306513.0499999996,328840.43919999956,316192.7299999996,306513.0499999996
2023-12-11,309502.75999999954,2989.71,2989.7099999999627,0.9753940329783566,318773.5719999996,306513.0499999996,318773.5719999996,306513.0499999996,309502.75999999954
2023-12-12,314205.4199999996,4702.66,4702.660000000033,1.5194242532764617,321882.87039999955,309502.75999999954,321882.87039999955,309502.75999999954,314205.4199999996
2023-12-13,319031.83999999956,4826.42,4826.419999999984,1.5360715292562395,326773.6367999996,314205.4199999996,326773.6367999996,314205.4199999996,319031.83999999956
2023-12-14,317490.2899999996,-1541.55,-1541.5499999999884,-0.4831962853613578,331793.1135999996,317490.2899999996,331793.1135999996,319031.83999999956,317490.2899999996
2023-12-15,301976.15999999957,-15514.13,-15514.130000000005,-4.8864895994142135,330189.9015999996,301976.15999999957,330189.9015999996,317490.2899999996,301976.15999999957
2023-12-16,299898.52999999956,-2077.63,-2077.6300000000047,-0.6880112655250691,314055.20639999956,299898.52999999956,314055.20639999956,301976.15999999957,299898.52999999956
2023-12-17,290335.34999999957,-9563.18,-9563.179999999993,-3.18880522688791,311894.47119999956,290335.34999999957,311894.47119999956,299898.52999999956,290335.34999999957
2023-12-18,293346.34999999957,3011.0,3011.0,1.0370766081360758,301948.76399999956,290335.34999999957,301948.76399999956,290335.34999999957,293346.34999999957
